epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,223.923,0.56598,0.43252,0.95001,0.98739,0.98333,0.99406,0.92309,0.37346,0.32366,0.82334,0.00073025,0.00073025,0.00073025
44,228.637,0.57022,0.43574,0.93884,0.98004,0.99606,0.995,0.92125,0.35419,0.30033,0.82464,0.000717875,0.000717875,0.000717875
45,234.118,0.52647,0.40447,0.91093,0.95727,0.96818,0.995,0.92334,0.35322,0.33965,0.82211,0.0007055,0.0007055,0.0007055
46,238.974,0.56984,0.43855,0.94953,0.97479,0.9969,0.995,0.91515,0.38947,0.30749,0.83156,0.000693125,0.000693125,0.000693125
47,243.509,0.59618,0.42401,0.95106,0.99043,0.9824,0.99406,0.91542,0.37961,0.31416,0.83948,0.00068075,0.00068075,0.00068075
48,249.357,0.56003,0.42946,0.93921,0.98977,0.98318,0.995,0.93113,0.34141,0.27777,0.82082,0.000668375,0.000668375,0.000668375
49,253.896,0.55191,0.41007,0.93151,0.98515,0.99614,0.995,0.91926,0.36951,0.3123,0.84194,0.000656,0.000656,0.000656
50,259.043,0.545,0.40332,0.94552,0.96895,0.98333,0.99207,0.93145,0.3438,0.28644,0.8245,0.000643625,0.000643625,0.000643625
51,264.377,0.52918,0.39885,0.93167,0.98886,0.97575,0.99406,0.93736,0.33764,0.29561,0.82948,0.00063125,0.00063125,0.00063125
52,269.113,0.51359,0.39096,0.92559,0.98394,0.95383,0.99324,0.91369,0.39895,0.32681,0.84192,0.000618875,0.000618875,0.000618875
53,275.023,0.56162,0.40542,0.92526,0.9865,0.97933,0.995,0.94543,0.33313,0.29419,0.81434,0.0006065,0.0006065,0.0006065
54,279.608,0.50217,0.38739,0.91055,0.98114,1,0.995,0.92635,0.38178,0.28482,0.82868,0.000594125,0.000594125,0.000594125
55,284.179,0.50929,0.37712,0.91331,0.97811,0.96873,0.995,0.94449,0.34044,0.30146,0.81649,0.00058175,0.00058175,0.00058175
56,290.15,0.52879,0.38758,0.93254,0.98875,1,0.995,0.92336,0.37787,0.28076,0.83543,0.000569375,0.000569375,0.000569375
57,294.776,0.52225,0.38381,0.91675,0.99088,1,0.995,0.91362,0.38718,0.29361,0.83125,0.000557,0.000557,0.000557
58,300.466,0.48638,0.3611,0.915,0.98311,0.98333,0.99406,0.91445,0.36678,0.28326,0.82254,0.000544625,0.000544625,0.000544625
59,305.109,0.52297,0.38507,0.92733,0.97695,0.97574,0.99406,0.93166,0.33919,0.2944,0.81953,0.00053225,0.00053225,0.00053225
60,309.975,0.50745,0.37219,0.93073,0.97786,0.97092,0.99324,0.92256,0.39486,0.30521,0.83774,0.000519875,0.000519875,0.000519875
61,315.92,0.48652,0.362,0.89899,0.98939,1,0.995,0.93796,0.346,0.26498,0.81757,0.0005075,0.0005075,0.0005075
62,320.711,0.48152,0.35042,0.91384,0.98253,0.98415,0.995,0.92931,0.35028,0.2888,0.81787,0.000495125,0.000495125,0.000495125
63,325.866,0.48907,0.34201,0.90921,0.98238,0.99316,0.995,0.94252,0.34808,0.26403,0.80928,0.00048275,0.00048275,0.00048275
64,331.147,0.48263,0.3507,0.90858,0.9888,0.9819,0.995,0.93796,0.34963,0.28295,0.81568,0.000470375,0.000470375,0.000470375
65,335.762,0.49138,0.35299,0.91372,0.98181,0.98333,0.99406,0.93686,0.32617,0.28315,0.80956,0.000458,0.000458,0.000458
66,341.621,0.49047,0.35761,0.91333,0.97799,0.96667,0.99207,0.937,0.33109,0.27819,0.81601,0.000445625,0.000445625,0.000445625
67,346.181,0.46978,0.3541,0.90413,0.97079,0.96978,0.995,0.93699,0.32792,0.27988,0.82062,0.00043325,0.00043325,0.00043325
68,350.904,0.46311,0.33787,0.90044,0.98459,0.98333,0.99324,0.95639,0.31851,0.29672,0.80938,0.000420875,0.000420875,0.000420875
69,356.745,0.48162,0.34615,0.91283,0.97945,0.99403,0.995,0.9553,0.31911,0.26598,0.81018,0.0004085,0.0004085,0.0004085
70,361.43,0.47741,0.35358,0.90473,0.9681,0.97294,0.9925,0.94682,0.31409,0.30993,0.80169,0.000396125,0.000396125,0.000396125
71,367.329,0.47458,0.3449,0.9088,0.9708,0.97428,0.99406,0.94639,0.31103,0.29689,0.80514,0.00038375,0.00038375,0.00038375
72,371.927,0.46035,0.33572,0.90819,0.97625,0.98333,0.99406,0.93982,0.31071,0.26554,0.80508,0.000371375,0.000371375,0.000371375
73,376.576,0.46334,0.33529,0.9007,0.97647,0.99553,0.995,0.94249,0.30179,0.24303,0.80567,0.000359,0.000359,0.000359
74,382.643,0.43581,0.31506,0.89249,0.98211,0.99549,0.995,0.9467,0.30231,0.24371,0.79909,0.000346625,0.000346625,0.000346625
